Obesity data- http://www.cdc.gov/obesity/data/table-adults.html ( 2014),,,,,,,,,,,
,,,,,,,,,,,
MEDHHINC 2010- Median Household Income ( 2010),,,,,,,,,,,
"Fast-food restaurants/1,000 pop (% change), 2007-12- (PCH_FFRPTH_07_12)                              Farmers' markets/1,000 pop (% change), 2009-13 (PCH_FMRKTPTH_09_13)                                    Grocery stores/1,000 pop (% change), 2007-12 (PCH_GROCPTH_07_12)                                   Supercenters & club stores (% change), 2007-12 ( PCH_SUPERC_07_12)                                 Convenience Stores ( % change), 2007-2012 (PCH_CONVSPTH_07_12)",,,,,,,,,,,
FIPS Code,State,POVRATE10,Obesity (%),MEDHHINC10,PCH_FFRPTH_07_12,,,PCH_FMRKTPTH_09_13,PCH_GROCPTH_07_12,PCH_SUPERC_07_12,Convenience stores
1111,AL,24.8,,32584,-12.23226755,1111,AL,-100,-25.94597574,,5.321278942
1113,AL,24.1,,32733,-18.92332526,1113,AL,-12.06157039,-33.17856478,-13.13213421,13.59643988
1115,AL,13,,48296,19.96209747,1115,AL,-3.920832502,-21.04535421,176.3412603,11.71242436
1117,AL,9.8,,67135,-19.10846047,1117,AL,91.60151487,6.527620877,21.74585243,-28.50970293
1119,AL,31.3,,25586,-13.52964177,1119,AL,-4.274968347,-25.88255009,0,212.9403441
1121,AL,22.7,,35646,-6.100841727,1121,AL,,22.59056775,96.14490839,44.10646331
1123,AL,18.3,,34440,-29.21513242,1123,AL,198.8340459,38.73834046,-0.901185387,68.83501749
1125,AL,18,,43098,-9.283004353,1125,AL,39.00204435,-42.41584255,-9.868275293,-12.39533299
1127,AL,23.2,,36044,-16.26203865,1127,AL,3.806949457,-39.01436989,3.675571193,37.37013183
1129,AL,19.6,,37639,100.1753463,1129,AL,-0.233795079,-49.95616342,0,0.087673154
1131,AL,39.6,,21611,-26.63225731,1131,AL,8.336978392,-2.176343083,0,83.41935672
1133,AL,20.3,,32574,-32.73049057,1133,AL,-0.460428074,-10.30732076,0,0.904264145
,Alaska,15.50689655,29.7,52915.34483,-11.85496733,,,7.738546748,4.305583905,3.933206486,-41.61178109
2013,AK,16.8,,47077,-55.42549826,2013,AK,,-28.68079722,0,-100
2016,AK,9,,58517,0,2016,AK,0,-31.3070128,0,-82.8267532
2020,AK,9.6,,70524,-4.401527075,2020,AK,0,-3.990055886,24.35573714,-72.43345728
2050,AK,22.6,,45481,-3.640256959,2050,AK,34.16951877,-8.228816152,0,-32.54817987
2060,AK,8.8,,62912,0,2060,AK,0,-32.92970064,0,-100
2068,AK,5.6,,61004,-67.91111111,2068,AK,0,0,0,-58.74285714
2070,AK,20.6,,46845,0,2070,AK,0,47.88438617,0,-40.84624553
2090,AK,9.4,,60472,-20.25608712,2090,AK,-1.529598729,11.64147804,30.24839104,-60.92548269
2100,AK,12.1,,46111,0,2100,AK,195.1771182,172.1394984,0,-100
2105,AK,8.2,,38122,0,2105,AK,-5.995297806,0,0,0
2110,AK,10.7,,69844,16.33665069,2110,AK,,-29.63509031,40.72981939,-79.47690134
2122,AK,10,,57347,-9.109113733,2122,AK,-100,-43.86151142,87.12829525,-67.51244874
2130,AK,8.3,,58073,22.45964356,2130,AK,20.0900703,-4.753610567,0,-80.95072211
2150,AK,17.7,,59847,-8.181754337,2150,AK,0,-26.54540347,0,-89.7979727
2164,AK,10.9,,39794,0,2164,AK,0,,0,0
2170,AK,24.6,,68670,-16.88373983,2170,AK,0,-2.517966463,31.60074528,-58.93310077
2180,AK,11.4,,43147,-37.40124391,2180,AK,31.73340431,25.19751219,0,-89.56687398
